54,CLOSED,Organizing files into folders by algorithm types,,2023-02-12 09:15:58 +0000 UTC
52,OPEN,Day Week,Hard, Problem,2023-02-11 11:40:22 +0000 UTC
51,OPEN,Sum Minute,Medium, Problem,2023-02-11 11:40:02 +0000 UTC
50,OPEN,Positive and Negative,Medium, Problem,2023-02-11 11:39:18 +0000 UTC
49,OPEN,Reorder Index,Medium, Problem,2023-02-11 11:39:01 +0000 UTC
48,OPEN,Group Words,Medium, Problem,2023-02-11 11:38:32 +0000 UTC
47,OPEN,Common Characters,Medium, Problem,2023-02-11 11:38:07 +0000 UTC
46,OPEN,Minimize Cash Flow,Algorithm, Hard,2023-02-11 11:37:33 +0000 UTC
45,CLOSED,Paper Cut,Algorithm, Medium,2023-02-13 11:13:43 +0000 UTC
44,CLOSED,Fractional Knapsack Problem,Algorithm, Medium,2023-02-13 10:34:15 +0000 UTC
43,CLOSED,Job Sequencing Problem,Algorithm, Medium,2023-02-13 09:35:36 +0000 UTC
42,CLOSED,Minimum Sum,Algorithm, Medium,2023-02-13 08:46:25 +0000 UTC
41,CLOSED,Quick Sort,Algorithm, Medium,2023-02-12 14:40:39 +0000 UTC
40,CLOSED,Merge Sort,Algorithm, Medium,2023-02-12 13:33:21 +0000 UTC
39,CLOSED,Select Sort,Algorithm, Easy,2023-02-12 12:43:05 +0000 UTC
38,CLOSED,Fibonacci Search,Algorithm, Medium,2023-02-12 11:43:21 +0000 UTC
37,CLOSED,Find Missing Number,Algorithm, Easy,2023-02-12 11:42:23 +0000 UTC
36,CLOSED,Jump Search,Algorithm, Easy,2023-02-11 13:18:46 +0000 UTC
35,OPEN,teste,,2023-02-10 08:46:19 +0000 UTC
15,CLOSED,Date calculate age,Easy, Problem,2023-02-11 11:08:01 +0000 UTC
14,CLOSED,Date find future,Easy, Problem,2023-02-11 11:04:48 +0000 UTC
13,CLOSED,Array reversal,Easy, Problem,2023-02-11 11:05:12 +0000 UTC
12,CLOSED,Array Find Three,Easy, Problem,2023-02-11 11:05:25 +0000 UTC
11,CLOSED,String count,Basic, Problem,2023-02-11 11:07:49 +0000 UTC
10,CLOSED,Missing Character,Easy, Problem,2023-02-11 11:07:35 +0000 UTC
9,CLOSED,Find Maximun,Algorithm, Easy,2023-02-11 11:07:29 +0000 UTC
8,CLOSED,Minimum Product,Algorithm, Easy,2023-02-11 11:07:18 +0000 UTC
7,CLOSED,Maximize Array,Algorithm, Easy,2023-02-11 11:07:07 +0000 UTC
6,CLOSED,Minimum Sum,Algorithm, Basic,2023-02-11 11:06:52 +0000 UTC
5,CLOSED,Minimum Spanning,Algorithm, Basic,2023-02-11 11:06:41 +0000 UTC
4,CLOSED,Counting Sort,Algorithm, Easy,2023-02-11 11:06:31 +0000 UTC
3,CLOSED,Bubble Sort,Algorithm, Easy,2023-02-11 11:06:14 +0000 UTC
2,CLOSED,Binary Search,Algorithm, Easy,2023-02-11 11:05:47 +0000 UTC
1,CLOSED,Linear Search,Algorithm, Easy,2023-02-11 11:14:26 +0000 UTC
